LocationType,Location,Category,TimeFrame,DataFormat,Data
State,Arizona,higher degree,Age 19,Percent,S
State,Arizona,bachelor degree,Age 19,Percent,S
State,Arizona,Associate Degree,Age 19,Percent,S
State,Arizona,vocational license,Age 19,Percent,S
State,Arizona,vocational certificate,Age 19,Percent,S
State,Arizona,high school or ged,Age 19,Percent,0.68
State,Arizona,high school or ged,Age 17,Number,10
State,Arizona,vocational certificate,Age 17,Number,S
State,Arizona,vocational license,Age 17,Number,S
State,Arizona,Associate Degree,Age 17,Number,S
State,Arizona,bachelor degree,Age 17,Number,S
State,Arizona,higher degree,Age 17,Number,S
State,Arizona,none of the above,Age 17,Number,75
State,Arizona,Declined,Age 17,Number,S
State,Arizona,blank,Age 17,Number,S
State,Arkansas,high school or ged,Age 17,Number,S
State,Arkansas,vocational certificate,Age 17,Number,S
State,Arkansas,vocational license,Age 17,Number,S
State,Arkansas,Associate Degree,Age 17,Number,S
State,Arkansas,bachelor degree,Age 17,Number,S
State,Arkansas,higher degree,Age 17,Number,S
State,Arkansas,none of the above,Age 17,Number,163
State,Arkansas,Declined,Age 17,Number,S
State,Arkansas,blank,Age 17,Number,S
State,Arkansas,blank,Age 17,Percent,S
State,Arkansas,Declined,Age 17,Percent,S
State,Arkansas,none of the above,Age 17,Percent,0.95
State,Arkansas,higher degree,Age 17,Percent,S
State,Arkansas,bachelor degree,Age 17,Percent,S
State,Arkansas,Associate Degree,Age 17,Percent,S
State,Arkansas,vocational license,Age 17,Percent,S
State,Arkansas,vocational certificate,Age 17,Percent,S
State,Arkansas,high school or ged,Age 17,Percent,S
State,Arkansas,blank,Age 19,Percent,S
State,Arkansas,Declined,Age 19,Percent,S
State,Arkansas,none of the above,Age 19,Percent,0.34
State,Arkansas,higher degree,Age 19,Percent,S
State,Arkansas,bachelor degree,Age 19,Percent,S
State,Arkansas,Associate Degree,Age 19,Percent,S
State,Arkansas,vocational license,Age 19,Percent,S
State,Arkansas,vocational certificate,Age 19,Percent,S
State,Arkansas,high school or ged,Age 19,Percent,0.61
State,Arkansas,high school or ged,Age 19,Number,43
State,Arkansas,vocational certificate,Age 19,Number,S
State,Arkansas,vocational license,Age 19,Number,S
State,Arkansas,Associate Degree,Age 19,Number,S
State,Arkansas,bachelor degree,Age 19,Number,S
State,Arkansas,higher degree,Age 19,Number,S
State,Arkansas,none of the above,Age 19,Number,24
State,Arkansas,Declined,Age 19,Number,S
State,Arkansas,blank,Age 19,Number,S
State,Arkansas,high school or ged,Age 21,Number,46
State,Arkansas,vocational certificate,Age 21,Number,S
State,Arkansas,vocational license,Age 21,Number,S
State,Arkansas,Associate Degree,Age 21,Number,S
State,Arkansas,bachelor degree,Age 21,Number,S
State,Arkansas,higher degree,Age 21,Number,S
State,Arkansas,none of the above,Age 21,Number,13
State,Arkansas,Declined,Age 21,Number,S
State,Arkansas,blank,Age 21,Number,S
State,Arkansas,blank,Age 21,Percent,S
State,Arkansas,Declined,Age 21,Percent,S
State,Arkansas,none of the above,Age 21,Percent,0.19
State,Arkansas,higher degree,Age 21,Percent,S
State,Arkansas,bachelor degree,Age 21,Percent,S
State,Arkansas,Associate Degree,Age 21,Percent,S
State,Arkansas,vocational license,Age 21,Percent,S
State,Arkansas,vocational certificate,Age 21,Percent,S
State,Arkansas,high school or ged,Age 21,Percent,0.69
State,California,blank,Age 21,Percent,S
State,California,Declined,Age 21,Percent,0.01
State,California,none of the above,Age 21,Percent,0.16
State,California,higher degree,Age 21,Percent,S
State,California,bachelor degree,Age 21,Percent,S
State,California,Associate Degree,Age 21,Percent,0.01
State,California,vocational license,Age 21,Percent,S
State,California,vocational certificate,Age 21,Percent,0.03
State,California,high school or ged,Age 21,Percent,0.78
State,California,high school or ged,Age 21,Number,1281
State,California,vocational certificate,Age 21,Number,51
State,California,vocational license,Age 21,Number,S
State,California,Associate Degree,Age 21,Number,23
State,California,bachelor degree,Age 21,Number,S
State,California,higher degree,Age 21,Number,S
State,California,none of the above,Age 21,Number,259
State,California,Declined,Age 21,Number,20
State,California,blank,Age 21,Number,S
State,California,high school or ged,Age 19,Number,1360
State,California,vocational certificate,Age 19,Number,13
State,California,vocational license,Age 19,Number,S
State,California,Associate Degree,Age 19,Number,S
State,California,bachelor degree,Age 19,Number,S
State,California,higher degree,Age 19,Number,S
State,California,none of the above,Age 19,Number,571
State,California,Declined,Age 19,Number,34
State,California,blank,Age 19,Number,S
State,California,blank,Age 19,Percent,S
State,California,Declined,Age 19,Percent,0.02
State,California,none of the above,Age 19,Percent,0.29
State,California,higher degree,Age 19,Percent,S
State,California,bachelor degree,Age 19,Percent,S
State,California,Associate Degree,Age 19,Percent,S
State,California,vocational license,Age 19,Percent,S
State,California,vocational certificate,Age 19,Percent,0.01
State,California,high school or ged,Age 19,Percent,0.68
State,California,blank,Age 17,Percent,S
State,California,Declined,Age 17,Percent,0.04
State,California,none of the above,Age 17,Percent,0.93
State,California,higher degree,Age 17,Percent,S
State,California,bachelor degree,Age 17,Percent,S
State,California,Associate Degree,Age 17,Percent,S
State,California,vocational license,Age 17,Percent,S
State,California,vocational certificate,Age 17,Percent,S
State,California,high school or ged,Age 17,Percent,0.03
State,California,high school or ged,Age 17,Number,75
State,California,vocational certificate,Age 17,Number,S
State,California,vocational license,Age 17,Number,S
State,California,Associate Degree,Age 17,Number,S
State,California,bachelor degree,Age 17,Number,S
State,California,higher degree,Age 17,Number,S
State,California,none of the above,Age 17,Number,2286
State,California,Declined,Age 17,Number,88
State,California,blank,Age 17,Number,S
State,Colorado,high school or ged,Age 17,Number,S
State,Colorado,vocational certificate,Age 17,Number,S
State,Colorado,vocational license,Age 17,Number,S
State,Colorado,Associate Degree,Age 17,Number,S
State,Colorado,bachelor degree,Age 17,Number,S
State,Colorado,higher degree,Age 17,Number,S
State,Colorado,none of the above,Age 17,Number,275
State,Colorado,Declined,Age 17,Number,21
State,Colorado,blank,Age 17,Number,15
State,Colorado,blank,Age 17,Percent,0.05
State,Colorado,Declined,Age 17,Percent,0.07
State,Colorado,none of the above,Age 17,Percent,0.88
State,Colorado,higher degree,Age 17,Percent,S
State,Colorado,bachelor degree,Age 17,Percent,S
State,Colorado,Associate Degree,Age 17,Percent,S
State,Colorado,vocational license,Age 17,Percent,S
State,Colorado,vocational certificate,Age 17,Percent,S
State,Colorado,high school or ged,Age 17,Percent,S
State,Colorado,blank,Age 19,Percent,0.48
State,Colorado,Declined,Age 19,Percent,0.1
State,Colorado,none of the above,Age 19,Percent,0.39
State,Colorado,higher degree,Age 19,Percent,S
State,Colorado,bachelor degree,Age 19,Percent,S
State,Colorado,Associate Degree,Age 19,Percent,S
State,Colorado,vocational license,Age 19,Percent,S
State,Colorado,vocational certificate,Age 19,Percent,S
State,Colorado,high school or ged,Age 19,Percent,S
State,Colorado,high school or ged,Age 19,Number,S
State,Colorado,vocational certificate,Age 19,Number,S
State,Colorado,vocational license,Age 19,Number,S
State,Colorado,Associate Degree,Age 19,Number,S
State,Colorado,bachelor degree,Age 19,Number,S
State,Colorado,higher degree,Age 19,Number,S
State,Colorado,none of the above,Age 19,Number,39
State,Colorado,Declined,Age 19,Number,10
State,Colorado,blank,Age 19,Number,48
State,Colorado,high school or ged,Age 21,Number,57
State,Colorado,vocational certificate,Age 21,Number,S
State,Colorado,vocational license,Age 21,Number,S
State,Colorado,Associate Degree,Age 21,Number,S
State,Colorado,bachelor degree,Age 21,Number,S
State,Colorado,higher degree,Age 21,Number,S
State,Colorado,none of the above,Age 21,Number,24
State,Colorado,Declined,Age 21,Number,S
State,Colorado,blank,Age 21,Number,S
State,Colorado,blank,Age 21,Percent,S
State,Colorado,Declined,Age 21,Percent,S
State,Colorado,none of the above,Age 21,Percent,0.26
State,Colorado,higher degree,Age 21,Percent,S
State,Colorado,bachelor degree,Age 21,Percent,S
State,Colorado,Associate Degree,Age 21,Percent,S
State,Colorado,vocational license,Age 21,Percent,S
State,Colorado,vocational certificate,Age 21,Percent,S
State,Colorado,high school or ged,Age 21,Percent,0.61
State,Connecticut,blank,Age 21,Percent,S
State,Connecticut,Declined,Age 21,Percent,S
State,Connecticut,none of the above,Age 21,Percent,0.09
State,Connecticut,higher degree,Age 21,Percent,S
State,Connecticut,bachelor degree,Age 21,Percent,S
State,Connecticut,Associate Degree,Age 21,Percent,S
State,Connecticut,vocational license,Age 21,Percent,S
