LocationType,Location,TimeFrame,DataFormat,Data
State,Nebraska,2002,"Rate per 1,000",13
State,Nevada,2002,"Rate per 1,000",6
State,Montana,2002,"Rate per 1,000",9
State,Missouri,2002,"Rate per 1,000",9
State,Mississippi,2002,"Rate per 1,000",4
State,Minnesota,2002,"Rate per 1,000",6
State,Michigan,2002,"Rate per 1,000",8
State,Massachusetts,2002,"Rate per 1,000",8
State,Maryland,2002,"Rate per 1,000",9
State,Maine,2002,"Rate per 1,000",10
State,Louisiana,2002,"Rate per 1,000",4
State,Kentucky,2002,"Rate per 1,000",7
State,Kansas,2002,"Rate per 1,000",9
State,Iowa,2002,"Rate per 1,000",7
State,Indiana,2002,"Rate per 1,000",5
State,Illinois,2002,"Rate per 1,000",7
State,Hawaii,2002,"Rate per 1,000",10
State,Idaho,2002,"Rate per 1,000",3
State,Georgia,2002,"Rate per 1,000",6
State,Florida,2002,"Rate per 1,000",8
City,District of Columbia,2002,"Rate per 1,000",28
State,Delaware,2002,"Rate per 1,000",4
State,Connecticut,2002,"Rate per 1,000",7
State,Colorado,2002,"Rate per 1,000",8
State,California,2002,"Rate per 1,000",11
State,Arkansas,2002,"Rate per 1,000",4
State,Arizona,2002,"Rate per 1,000",4
State,Alaska,2002,"Rate per 1,000",11
State,Alabama,2002,"Rate per 1,000",5
Nation,United States,2002,"Rate per 1,000",7
Nation,United States,2003,"Rate per 1,000",7
State,Alabama,2003,"Rate per 1,000",5
State,Alaska,2003,"Rate per 1,000",11
State,Arizona,2003,"Rate per 1,000",5
State,Arkansas,2003,"Rate per 1,000",4
State,California,2003,"Rate per 1,000",10
State,Colorado,2003,"Rate per 1,000",7
State,Connecticut,2003,"Rate per 1,000",8
State,Delaware,2003,"Rate per 1,000",4
State,Florida,2003,"Rate per 1,000",8
City,District of Columbia,2003,"Rate per 1,000",27
State,Georgia,2003,"Rate per 1,000",6
State,Idaho,2003,"Rate per 1,000",4
State,Hawaii,2003,"Rate per 1,000",10
State,Illinois,2003,"Rate per 1,000",7
State,Indiana,2003,"Rate per 1,000",6
State,Iowa,2003,"Rate per 1,000",7
State,Kansas,2003,"Rate per 1,000",8
State,Kentucky,2003,"Rate per 1,000",7
State,Louisiana,2003,"Rate per 1,000",4
State,Maine,2003,"Rate per 1,000",9
State,Maryland,2003,"Rate per 1,000",8
State,Massachusetts,2003,"Rate per 1,000",8
State,Michigan,2003,"Rate per 1,000",8
State,Minnesota,2003,"Rate per 1,000",5
State,Missouri,2003,"Rate per 1,000",8
State,Mississippi,2003,"Rate per 1,000",4
State,Montana,2003,"Rate per 1,000",8
State,Nevada,2003,"Rate per 1,000",6
State,Nebraska,2003,"Rate per 1,000",12
State,New Hampshire,2003,"Rate per 1,000",4
State,New Jersey,2003,"Rate per 1,000",6
State,New Mexico,2003,"Rate per 1,000",4
State,New York,2003,"Rate per 1,000",8
State,North Carolina,2003,"Rate per 1,000",5
State,North Dakota,2003,"Rate per 1,000",8
State,Ohio,2003,"Rate per 1,000",7
State,Oklahoma,2003,"Rate per 1,000",10
State,Oregon,2003,"Rate per 1,000",11
State,Pennsylvania,2003,"Rate per 1,000",7
State,Rhode Island,2003,"Rate per 1,000",9
State,South Dakota,2003,"Rate per 1,000",8
State,South Carolina,2003,"Rate per 1,000",5
State,Tennessee,2003,"Rate per 1,000",7
State,Utah,2003,"Rate per 1,000",3
State,Texas,2003,"Rate per 1,000",4
State,Vermont,2003,"Rate per 1,000",10
State,Virginia,2003,"Rate per 1,000",4
State,Washington,2003,"Rate per 1,000",6
State,West Virginia,2003,"Rate per 1,000",10
State,Wisconsin,2003,"Rate per 1,000",6
State,Wyoming,2003,"Rate per 1,000",9
State,Wyoming,2003,Number,1054
State,Wisconsin,2003,Number,7808
State,West Virginia,2003,Number,4041
State,Washington,2003,Number,9211
State,Virginia,2003,Number,7044
State,Vermont,2003,Number,1409
State,Utah,2003,Number,2033
State,Texas,2003,Number,21879
State,Tennessee,2003,Number,9466
State,South Dakota,2003,Number,1537
State,South Carolina,2003,Number,4792
State,Rhode Island,2003,Number,2333
State,Pennsylvania,2003,Number,20792
State,Oregon,2003,Number,9114
State,Oklahoma,2003,Number,9245
State,Ohio,2003,Number,19292
State,North Dakota,2003,Number,1237
State,North Carolina,2003,Number,9509
State,New York,2003,Number,37024
State,New Mexico,2003,Number,2122
State,New Jersey,2003,Number,12793
State,New Hampshire,2003,Number,1217
State,Nevada,2003,Number,3519
State,Nebraska,2003,Number,5134
State,Montana,2003,Number,1866
State,Missouri,2003,Number,11884
State,Mississippi,2003,Number,2719
State,Minnesota,2003,Number,6769
State,Michigan,2003,Number,21360
State,Massachusetts,2003,Number,12574
State,Maryland,2003,Number,11510
State,Maine,2003,Number,2760
State,Louisiana,2003,Number,4541
State,Kentucky,2003,Number,6887
State,Kansas,2003,Number,5771
State,Iowa,2003,Number,5006
State,Indiana,2003,Number,8811
State,Illinois,2003,Number,21564
State,Idaho,2003,Number,1401
State,Hawaii,2003,Number,2885
State,Georgia,2003,Number,13558
State,Florida,2003,Number,30650
City,District of Columbia,2003,Number,3080
State,Delaware,2003,Number,813
State,Connecticut,2003,Number,6735
State,Colorado,2003,Number,8614
State,California,2003,Number,97139
State,Arkansas,2003,Number,3012
State,Arizona,2003,Number,7465
State,Alaska,2003,Number,2039
State,Alabama,2003,Number,6068
Nation,United States,2003,Number,511086
Nation,United States,2004,Number,498527
State,Alabama,2004,Number,5924
State,Alaska,2004,Number,1829
State,Arizona,2004,Number,9191
State,Arkansas,2004,Number,3124
State,California,2004,Number,82135
State,Colorado,2004,Number,8085
State,Connecticut,2004,Number,6795
State,Delaware,2004,Number,845
City,District of Columbia,2004,Number,2594
State,Florida,2004,Number,28844
State,Georgia,2004,Number,14199
State,Hawaii,2004,Number,2945
State,Idaho,2004,Number,1565
State,Illinois,2004,Number,19895
State,Indiana,2004,Number,9774
State,Iowa,2004,Number,5383
State,Kansas,2004,Number,6044
State,Kentucky,2004,Number,6984
State,Louisiana,2004,Number,4397
State,Maine,2004,Number,2584
State,Maryland,2004,Number,11096
State,Massachusetts,2004,Number,12522
State,Michigan,2004,Number,21155
State,Minnesota,2004,Number,6537
State,Mississippi,2004,Number,2988
State,Missouri,2004,Number,11763
State,Montana,2004,Number,2030
State,Nebraska,2004,Number,6264
State,Nevada,2004,Number,4023
State,New Hampshire,2004,Number,1236
State,New Jersey,2004,Number,12257
State,New Mexico,2004,Number,2157
State,New York,2004,Number,33408
State,North Carolina,2004,Number,10045
State,North Dakota,2004,Number,1311
State,Ohio,2004,Number,17981
State,Oklahoma,2004,Number,11324
State,Oregon,2004,Number,10044
State,Pennsylvania,2004,Number,21862
State,Rhode Island,2004,Number,2383
State,South Carolina,2004,Number,4634
State,South Dakota,2004,Number,1581
State,Tennessee,2004,Number,9570
State,Texas,2004,Number,24526
State,Utah,2004,Number,2107
State,Vermont,2004,Number,1431
State,Virginia,2004,Number,6866
State,Washington,2004,Number,9358
State,West Virginia,2004,Number,3950
State,Wisconsin,2004,Number,7802
State,Wyoming,2004,Number,1180
State,Wyoming,2004,"Rate per 1,000",10
State,Wisconsin,2004,"Rate per 1,000",6
State,West Virginia,2004,"Rate per 1,000",10
State,Washington,2004,"Rate per 1,000",6
State,Virginia,2004,"Rate per 1,000",4
State,Vermont,2004,"Rate per 1,000",10
State,Texas,2004,"Rate per 1,000",4
State,Utah,2004,"Rate per 1,000",3
State,Tennessee,2004,"Rate per 1,000",7
